direction,experiment_id,seed,condition,alpha,coverage,mean_set_size,median_set_size,p_set_size_1,p_set_size_2,p_set_size_3,p_set_size_4,p_set_size_5
D1,D1_SLEEPEDF_TO_ISRUC,17,C0,0.10,0.9995834490419327,2.9488683698972507,4.0,0.22613510136073314,0.14117606220494308,0.0903742016106637,0.54231463482366,0.0
D1,D1_SLEEPEDF_TO_ISRUC,17,C0,0.10,0.9995834490419327,2.9488683698972507,4.0,0.22613510136073314,0.14117606220494308,0.0903742016106637,0.54231463482366,0.0
D1,D1_SLEEPEDF_TO_ISRUC,17,C0,0.05,0.9995834490419327,3.2336156623160233,4.0,0.13322688142182726,0.13714940294362676,0.09240488753124132,0.6372188281033047,0.0
D1,D1_SLEEPEDF_TO_ISRUC,17,C1,0.10,0.9987503471257984,3.7611774507081366,4.0,0.002429880588725354,0.09042627048042211,0.0506803665648431,0.8564634823660094,0.0
D1,D1_SLEEPEDF_TO_ISRUC,17,C1,0.10,0.9987503471257984,3.7611774507081366,4.0,0.002429880588725354,0.09042627048042211,0.0506803665648431,0.8564634823660094,0.0
D1,D1_SLEEPEDF_TO_ISRUC,17,C1,0.05,0.9987503471257984,3.8953242154956955,4.0,0.0,0.034695223549014165,0.035285337406276034,0.9300194390447099,0.0
D1,D1_SLEEPEDF_TO_ISRUC,17,C2,0.10,0.9955047209108581,4.0,4.0,0.0,0.0,0.0,1.0,0.0
D1,D1_SLEEPEDF_TO_ISRUC,17,C2,0.10,0.9955047209108581,4.0,4.0,0.0,0.0,0.0,1.0,0.0
D1,D1_SLEEPEDF_TO_ISRUC,17,C2,0.05,0.9955047209108581,4.0,4.0,0.0,0.0,0.0,1.0,0.0
D1,D1_SLEEPEDF_TO_ISRUC,42,C0,0.10,0.9996181616217718,2.8251180227714525,4.0,0.3010448486531519,0.09089489030824771,0.0899576506525965,0.5181026103860039,0.0
D1,D1_SLEEPEDF_TO_ISRUC,42,C0,0.10,0.9996181616217718,2.8251180227714525,4.0,0.3010448486531519,0.09089489030824771,0.0899576506525965,0.5181026103860039,0.0
D1,D1_SLEEPEDF_TO_ISRUC,42,C0,0.05,0.9996181616217718,3.0974729241877257,4.0,0.2174569564009997,0.07744376562066092,0.09526867536795335,0.609830602610386,0.0
D1,D1_SLEEPEDF_TO_ISRUC,42,C1,0.10,0.998437933907248,3.6901902249375174,4.0,0.04642807553457373,0.05713690641488475,0.056251735628991946,0.8401832824215496,0.0
D1,D1_SLEEPEDF_TO_ISRUC,42,C1,0.10,0.998437933907248,3.6901902249375174,4.0,0.04642807553457373,0.05713690641488475,0.056251735628991946,0.8401832824215496,0.0
D1,D1_SLEEPEDF_TO_ISRUC,42,C1,0.05,0.998437933907248,3.8250138850319355,4.0,0.02075812274368231,0.03629200222160511,0.04012774229380728,0.9028221327409053,0.0
D1,D1_SLEEPEDF_TO_ISRUC,42,C2,0.10,0.9905061094140517,4.0,4.0,0.0,0.0,0.0,1.0,0.0
D1,D1_SLEEPEDF_TO_ISRUC,42,C2,0.10,0.9905061094140517,4.0,4.0,0.0,0.0,0.0,1.0,0.0
D1,D1_SLEEPEDF_TO_ISRUC,42,C2,0.05,0.9905061094140517,4.0,4.0,0.0,0.0,0.0,1.0,0.0
D1,D1_SLEEPEDF_TO_ISRUC,2026,C0,0.10,0.9995313801721744,2.8666169119688973,3.0,0.2268814218272702,0.1376006664815329,0.17753748958622606,0.45798042210497086,0.0
D1,D1_SLEEPEDF_TO_ISRUC,2026,C0,0.10,0.9995313801721744,2.8666169119688973,3.0,0.2268814218272702,0.1376006664815329,0.17753748958622606,0.45798042210497086,0.0
D1,D1_SLEEPEDF_TO_ISRUC,2026,C0,0.05,0.9995487364620939,3.1582720077756177,4.0,0.13543113024159956,0.11899472368786448,0.1974451541238545,0.5481289919466815,0.0
D1,D1_SLEEPEDF_TO_ISRUC,2026,C1,0.10,0.998437933907248,3.8814912524298806,4.0,0.0015447098028325465,0.036534990280477644,0.04080463760066648,0.9211156623160234,0.0
