direction,condition,metric,source_numeric_value,dataframe_dtype,plotting_y_value,rendered_axis_value,status
D1,C0,macro-F1,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,unavailable,UNAVAILABLE,UNAVAILABLE,SOURCE_VALUE_UNAVAILABLE
D1,C0,NLL,0.217100,float64,0.2171,0.2171,PASS_NUMERIC_Y
D1,C0,AURC,0.008727,float64,0.008727,0.008727,PASS_NUMERIC_Y
D1,C0,coverage_gap_signed,-0.099578,float64,-0.099578,-0.099578,FIG2_CONFORMAL_FIELD_BINDING_BUG_CONFIRMED
D1,C1,macro-F1,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,unavailable,UNAVAILABLE,UNAVAILABLE,SOURCE_VALUE_UNAVAILABLE
D1,C1,NLL,0.285673,float64,0.285673,0.285673,PASS_NUMERIC_Y
D1,C1,AURC,0.013341,float64,0.013341,0.013341,PASS_NUMERIC_Y
D1,C1,coverage_gap_signed,-0.098542,float64,-0.098542,-0.098542,FIG2_CONFORMAL_FIELD_BINDING_BUG_CONFIRMED
D1,C2,macro-F1,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,unavailable,UNAVAILABLE,UNAVAILABLE,SOURCE_VALUE_UNAVAILABLE
D1,C2,NLL,0.670508,float64,0.670508,0.670508,PASS_NUMERIC_Y
D1,C2,AURC,0.092689,float64,0.092689,0.092689,PASS_NUMERIC_Y
D1,C2,coverage_gap_signed,-0.093416,float64,-0.093416,-0.093416,FIG2_CONFORMAL_FIELD_BINDING_BUG_CONFIRMED
D1,C3,macro-F1,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,unavailable,UNAVAILABLE,UNAVAILABLE,SOURCE_VALUE_UNAVAILABLE
D1,C3,NLL,1.001996,float64,1.001996,1.001996,PASS_NUMERIC_Y
D1,C3,AURC,0.187996,float64,0.187996,0.187996,PASS_NUMERIC_Y
D1,C3,coverage_gap_signed,-0.079853,float64,-0.079853,-0.079853,FIG2_CONFORMAL_FIELD_BINDING_BUG_CONFIRMED
D1,C4,macro-F1,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,unavailable,UNAVAILABLE,UNAVAILABLE,SOURCE_VALUE_UNAVAILABLE
D1,C4,NLL,1.055852,float64,1.055852,1.055852,PASS_NUMERIC_Y
D1,C4,AURC,0.257754,float64,0.257754,0.257754,PASS_NUMERIC_Y
D1,C4,coverage_gap_signed,-0.078588,float64,-0.078588,-0.078588,FIG2_CONFORMAL_FIELD_BINDING_BUG_CONFIRMED
D1,C5,macro-F1,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,unavailable,UNAVAILABLE,UNAVAILABLE,SOURCE_VALUE_UNAVAILABLE
D1,C5,NLL,1.587294,float64,1.587294,1.587294,PASS_NUMERIC_Y
D1,C5,AURC,0.603092,float64,0.603092,0.603092,PASS_NUMERIC_Y
D1,C5,coverage_gap_signed,-0.038105,float64,-0.038105,-0.038105,FIG2_CONFORMAL_FIELD_BINDING_BUG_CONFIRMED
D2,C0,macro-F1,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,unavailable,UNAVAILABLE,UNAVAILABLE,SOURCE_VALUE_UNAVAILABLE
D2,C0,NLL,0.623809,float64,0.623809,0.623809,PASS_NUMERIC_Y
D2,C0,AURC,0.087661,float64,0.087661,0.087661,PASS_NUMERIC_Y
D2,C0,coverage_gap_signed,-0.065614,float64,-0.065614,-0.065614,FIG2_CONFORMAL_FIELD_BINDING_BUG_CONFIRMED
D2,C1,macro-F1,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,unavailable,UNAVAILABLE,UNAVAILABLE,SOURCE_VALUE_UNAVAILABLE
D2,C1,NLL,0.798375,float64,0.798375,0.798375,PASS_NUMERIC_Y
D2,C1,AURC,0.133577,float64,0.133577,0.133577,PASS_NUMERIC_Y
