direction,experiment_id,seed,condition,alpha,source_test_epochs,empirical_coverage,coverage_gap_signed,absolute_coverage_gap,qhat,mean_set_size,median_set_size,singleton_fraction,full_set_fraction,empty_set_fraction
D1,D1_SLEEPEDF_TO_ISRUC,17,C0,0.1,57616,0.9995834490419327,-0.09958344904193273,0.09958344904193273,0.9999999967016777,2.9488683698972507,4.0,0.22613510136073314,0.0,0.0
D1,D1_SLEEPEDF_TO_ISRUC,17,C0,0.05,57616,0.9995834490419327,-0.04958344904193279,0.04958344904193279,0.9999999994737416,3.2336156623160233,4.0,0.13322688142182726,0.0,0.0
D1,D1_SLEEPEDF_TO_ISRUC,17,C1,0.1,57616,0.9987503471257984,-0.09875034712579833,0.09875034712579833,0.9999999967016777,3.7611774507081366,4.0,0.002429880588725354,0.0,0.0
D1,D1_SLEEPEDF_TO_ISRUC,17,C1,0.05,57616,0.9987503471257984,-0.0487503471257984,0.0487503471257984,0.9999999994737416,3.8953242154956955,4.0,0.0,0.0,0.0
D1,D1_SLEEPEDF_TO_ISRUC,17,C2,0.1,57616,0.9955047209108581,-0.09550472091085804,0.09550472091085804,0.9999999967016777,4.0,4.0,0.0,0.0,0.0
D1,D1_SLEEPEDF_TO_ISRUC,17,C2,0.05,57616,0.9955047209108581,-0.04550472091085811,0.04550472091085811,0.9999999994737416,4.0,4.0,0.0,0.0,0.0
D1,D1_SLEEPEDF_TO_ISRUC,42,C0,0.1,57616,0.9996181616217718,-0.09961816162177173,0.09961816162177173,0.9999999951442968,2.8251180227714525,4.0,0.3010448486531519,0.0,0.0
D1,D1_SLEEPEDF_TO_ISRUC,42,C0,0.05,57616,0.9996181616217718,-0.049618161621771795,0.049618161621771795,0.9999999992237567,3.0974729241877257,4.0,0.2174569564009997,0.0,0.0
D1,D1_SLEEPEDF_TO_ISRUC,42,C1,0.1,57616,0.998437933907248,-0.09843793390724798,0.09843793390724798,0.9999999951442968,3.6901902249375174,4.0,0.04642807553457373,0.0,0.0
D1,D1_SLEEPEDF_TO_ISRUC,42,C1,0.05,57616,0.998437933907248,-0.04843793390724804,0.04843793390724804,0.9999999992237567,3.8250138850319355,4.0,0.02075812274368231,0.0,0.0
D1,D1_SLEEPEDF_TO_ISRUC,42,C2,0.1,57616,0.9905061094140517,-0.09050610941405168,0.09050610941405168,0.9999999951442968,4.0,4.0,0.0,0.0,0.0
D1,D1_SLEEPEDF_TO_ISRUC,42,C2,0.05,57616,0.9905061094140517,-0.04050610941405175,0.04050610941405175,0.9999999992237567,4.0,4.0,0.0,0.0,0.0
D1,D1_SLEEPEDF_TO_ISRUC,2026,C0,0.1,57616,0.9995313801721744,-0.09953138017217433,0.09953138017217433,0.9999999720826965,2.8666169119688973,3.0,0.2268814218272702,0.0,0.0
D1,D1_SLEEPEDF_TO_ISRUC,2026,C0,0.05,57616,0.9995487364620939,-0.0495487364620939,0.0495487364620939,0.9999999953148415,3.1582720077756177,4.0,0.13543113024159956,0.0,0.0
D1,D1_SLEEPEDF_TO_ISRUC,2026,C1,0.1,57616,0.998437933907248,-0.09843793390724798,0.09843793390724798,0.9999999720826965,3.8814912524298806,4.0,0.0015447098028325465,0.0,0.0
D1,D1_SLEEPEDF_TO_ISRUC,2026,C1,0.05,57616,0.998437933907248,-0.04843793390724804,0.04843793390724804,0.9999999953148415,3.97721119133574,4.0,0.0,0.0,0.0
D1,D1_SLEEPEDF_TO_ISRUC,2026,C2,0.1,57616,0.994237711746737,-0.09423771174673701,0.09423771174673701,0.9999999720826965,4.0,4.0,0.0,0.0,0.0
D1,D1_SLEEPEDF_TO_ISRUC,2026,C2,0.05,57616,0.994237711746737,-0.044237711746737074,0.044237711746737074,0.9999999953148415,4.0,4.0,0.0,0.0,0.0
D2,D2_ISRUC_TO_SLEEPEDF,17,C0,0.1,13591,0.9691707747774262,-0.06917077477742617,0.06917077477742617,0.9988652814637266,2.497167243028475,3.0,0.2844529468030314,0.0,0.0
D2,D2_ISRUC_TO_SLEEPEDF,17,C0,0.05,13591,0.9859465822971084,-0.035946582297108454,0.035946582297108454,0.9997317739802749,2.916415274814215,3.0,0.2102862188212788,0.0,0.0
