value,canonical_present,venue_present,status
0.74800,True,True,PASS
0.66336,False,True,PASS
0.46627,False,True,PASS
0.59490,True,True,PASS
+0.03673,True,True,PASS
+0.18587,True,True,PASS
+0.05992,True,True,PASS
+0.00063,True,True,PASS
-0.02724,True,True,PASS
-0.02970,True,True,PASS
+0.00235,True,True,PASS
+0.16300,True,True,PASS
-0.05022,True,True,PASS
+0.00673,True,True,PASS
47,True,True,PASS
12,True,True,PASS
8,True,True,PASS
11,True,True,PASS
99,True,True,PASS
59,True,True,PASS
15,True,True,PASS
10,True,True,PASS
78,True,True,PASS
