dataset,subject_id,source_role,montage_variant,split_seed,cohort_version,data_contract_version,preprocessing_version
isruc_s1,I001,TRAIN,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I002,TRAIN,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I003,TRAIN,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I004,TRAIN,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I005,TRAIN,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I006,CALIBRATION,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I007,TRAIN,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I008,TRAIN,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I009,DEV,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I010,TRAIN,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I011,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I012,TRAIN,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I013,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I014,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I015,TRAIN,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I016,TRAIN,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I017,CALIBRATION,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I018,DEV,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I019,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I020,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I021,CALIBRATION,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I022,CALIBRATION,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I023,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I024,TRAIN,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I025,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I026,DEV,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I027,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I028,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I029,DEV,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I030,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I031,DEV,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I032,DEV,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I033,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I034,CALIBRATION,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I035,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I036,CALIBRATION,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I037,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0
