dataset,subject_id,source_role,montage_variant,split_seed,cohort_version,data_contract_version,preprocessing_version,amendment_id
isruc_s1,I001,TRAIN,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I002,TRAIN,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I003,DEV,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I004,TRAIN,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I005,TRAIN,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I006,TEST,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I007,TRAIN,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I008,TRAIN,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I009,CALIBRATION,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I010,TRAIN,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I011,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I012,TRAIN,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I013,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I014,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I015,TRAIN,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I016,DEV,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I017,TEST,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I018,CALIBRATION,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I019,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I020,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I021,TEST,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I022,TEST,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I023,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I024,TRAIN,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I025,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I026,DEV,ISRUC_A1A2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I027,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I028,DEV,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I029,TEST,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I030,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I031,CALIBRATION,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I032,DEV,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I033,DEV,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I034,TEST,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I035,DEV,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I036,TEST,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I037,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I038,TEST,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I039,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I041,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I042,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I043,CALIBRATION,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I044,CALIBRATION,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I045,TEST,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I046,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I047,DEV,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I048,DEV,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I049,TEST,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I050,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I051,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I052,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I053,DEV,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I054,CALIBRATION,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I055,DEV,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I056,DEV,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I057,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I058,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I059,CALIBRATION,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I060,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I061,TEST,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I062,TEST,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I063,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I064,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I065,TEST,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I066,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I067,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I068,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I069,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I070,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I071,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I072,CALIBRATION,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I073,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I074,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I075,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I076,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I077,DEV,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I078,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I079,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I080,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I081,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I082,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I083,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I084,TEST,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I085,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I086,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I087,DEV,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I088,DEV,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I089,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I090,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I091,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I092,CALIBRATION,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I093,CALIBRATION,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I094,TEST,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I095,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I096,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I097,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I098,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I099,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
isruc_s1,I100,TRAIN,ISRUC_M1M2,2026,isruc_original_v3,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_00,TEST,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_01,CALIBRATION,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_02,TEST,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_03,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_04,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_05,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_06,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_07,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_08,DEV,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_09,DEV,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_10,DEV,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_11,DEV,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_12,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_13,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_14,TEST,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_15,DEV,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_16,TEST,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_17,CALIBRATION,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_18,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_19,DEV,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_20,DEV,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_21,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
